,team,challenges,score,eligible
159,Electric Cats,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['585', '104'], 'solve_time': ['2024-11-23T20:11:15.361Z', '2024-11-23T20:41:19.712Z']}",143,International
160,just for fun,"{'challenge_name': ['packed', 'Welcome'], 'challenge_category': ['reversing', 'welcome'], 'challenge_rank': ['105', '591'], 'solve_time': ['2024-11-23T20:45:24.316Z', '2024-11-23T20:49:06.243Z']}",143,International
161,tongkhuyet,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['566', '107'], 'solve_time': ['2024-11-23T17:42:48.286Z', '2024-11-23T21:12:42.243Z']}",143,International
162,SecFault,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['579', '109'], 'solve_time': ['2024-11-23T19:19:38.415Z', '2024-11-23T21:37:02.303Z']}",143,International
163,RPISEC,"{'challenge_name': ['Welcome', 'packed'], 'challenge_category': ['welcome', 'reversing'], 'challenge_rank': ['80', '110'], 'solve_time': ['2024-11-23T05:01:26.164Z', '2024-11-23T21:41:30.245Z']}",143,International
164,upbhack,"{'challenge_name': ['packed', 'Welcome'], 'challenge_category': ['reversing', 'welcome'], 'challenge_rank': ['115', '618'], 'solve_time': ['2024-11-24T00:43:01.677Z', '2024-11-24T00:47:37.949Z']}",143,International
165,TAB,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['162', '25'], 'solve_time': ['2024-11-23T05:02:47.368Z', '2024-11-23T06:05:03.576Z']}",141,InternationalDomestic
166,E2IC3,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['158', '31'], 'solve_time': ['2024-11-23T05:02:36.717Z', '2024-11-23T06:15:02.044Z']}",141,InternationalDomestic
167,cis,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['113', '45'], 'solve_time': ['2024-11-23T05:01:45.544Z', '2024-11-23T06:58:25.081Z']}",141,InternationalDomestic
168,ONsen,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['249', '50'], 'solve_time': ['2024-11-23T05:14:55.635Z', '2024-11-23T07:09:24.986Z']}",141,InternationalDomestic
169,imposters,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['38', '54'], 'solve_time': ['2024-11-23T05:00:57.618Z', '2024-11-23T07:18:40.318Z']}",141,InternationalDomestic
170,SYDojo,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['61', '56'], 'solve_time': ['2024-11-23T05:01:15.78Z', '2024-11-23T07:33:34.245Z']}",141,InternationalDomestic
171,hallab,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",141,InternationalDomestic
172,Oysters,"{'challenge_name': ['reiwa_rot13', 'Welcome'], 'challenge_category': ['crypto', 'welcome'], 'challenge_rank': ['66', '410'], 'solve_time': ['2024-11-23T09:07:35.915Z', '2024-11-23T09:07:46.45Z']}",141,InternationalDomestic
173,ctfrd,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['151', '68'], 'solve_time': ['2024-11-23T05:02:32.084Z', '2024-11-23T09:22:27.614Z']}",141,InternationalDomestic
174,WayKey,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['287', '72'], 'solve_time': ['2024-11-23T05:40:36.945Z', '2024-11-23T09:49:35.925Z']}",141,InternationalDomestic
175,RiST,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['41', '77'], 'solve_time': ['2024-11-23T05:00:59.445Z', '2024-11-23T12:14:50.33Z']}",141,InternationalDomestic
176,gourmet hackers :re,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['64', '83'], 'solve_time': ['2024-11-23T05:01:18.241Z', '2024-11-23T14:31:04.502Z']}",141,InternationalDomestic
177,Caliphal Hounds,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['387', '88'], 'solve_time': ['2024-11-23T08:12:20.977Z', '2024-11-23T15:14:21.013Z']}",141,International
178,Mariydi,"{'challenge_name': ['reiwa_rot13', 'Welcome'], 'challenge_category': ['crypto', 'welcome'], 'challenge_rank': ['96', '544'], 'solve_time': ['2024-11-23T16:14:37.688Z', '2024-11-23T16:16:34.233Z']}",141,InternationalDomestic
179,setsu_soft,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['147', '99'], 'solve_time': ['2024-11-23T05:02:26.954Z', '2024-11-23T18:13:30.462Z']}",141,InternationalDomestic
180,HCST,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['564', '100'], 'solve_time': ['2024-11-23T17:30:37.754Z', '2024-11-23T18:17:06.47Z']}",141,International
181,Triple Triple,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['572', '101'], 'solve_time': ['2024-11-23T18:17:26.458Z', '2024-11-23T18:17:46.081Z']}",141,International
182,Kuston,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['219', '110'], 'solve_time': ['2024-11-23T05:07:06.446Z', '2024-11-23T18:46:58.961Z']}",141,InternationalDomestic
183,fsoci4ty,"{'challenge_name': ['reiwa_rot13', 'Welcome'], 'challenge_category': ['crypto', 'welcome'], 'challenge_rank': ['108', '590'], 'solve_time': ['2024-11-23T18:38:00.458Z', '2024-11-23T20:44:35.06Z']}",141,International
184,THE LEGION,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['471', '115'], 'solve_time': ['2024-11-23T11:57:55.226Z', '2024-11-23T21:25:59.769Z']}",141,International
185,hh,"{'challenge_name': ['reiwa_rot13', 'Welcome'], 'challenge_category': ['crypto', 'welcome'], 'challenge_rank': ['117', '600'], 'solve_time': ['2024-11-23T21:57:30.44Z', '2024-11-23T22:09:44.177Z']}",141,International
186,"End of the ""profile""","{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['178', '119'], 'solve_time': ['2024-11-23T05:03:39.656Z', '2024-11-23T22:50:12.474Z']}",141,InternationalDomestic
187,Jose's Proyectos,"{'challenge_name': ['reiwa_rot13', 'Welcome'], 'challenge_category': ['crypto', 'welcome'], 'challenge_rank': ['125', '628'], 'solve_time': ['2024-11-24T02:18:07.345Z', '2024-11-24T02:56:59.322Z']}",141,International
188,sknb,"{'challenge_name': ['Welcome', 'reiwa_rot13'], 'challenge_category': ['welcome', 'crypto'], 'challenge_rank': ['29', '126'], 'solve_time': ['2024-11-23T05:00:48.892Z', '2024-11-24T03:34:30.242Z']}",141,InternationalDomestic
189,DumbassTeam,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",118,International
190,seiyakyokai,"{'challenge_name': ['Trillion Bank'], 'challenge_category': ['web'], 'challenge_rank': ['42'], 'solve_time': ['2024-11-23T11:36:51.122Z']}",108,InternationalDomestic
191,kumar,"{'challenge_name': ['packed'], 'challenge_category': ['reversing'], 'challenge_rank': ['21'], 'solve_time': ['2024-11-23T06:22:53.204Z']}",93,International
192,acdwas,"{'challenge_name': ['packed'], 'challenge_category': ['reversing'], 'challenge_rank': ['31'], 'solve_time': ['2024-11-23T07:05:05.816Z']}",93,International
193,hams3r,"{'challenge_name': ['packed'], 'challenge_category': ['reversing'], 'challenge_rank': ['54'], 'solve_time': ['2024-11-23T09:35:48.077Z']}",93,International
194,uhyoyeah,"{'challenge_name': ['packed'], 'challenge_category': ['reversing'], 'challenge_rank': ['71'], 'solve_time': ['2024-11-23T14:04:03.325Z']}",93,InternationalDomestic
195,hiii,"{'challenge_name': ['reiwa_rot13'], 'challenge_category': ['crypto'], 'challenge_rank': ['39'], 'solve_time': ['2024-11-23T06:46:30.664Z']}",91,International
196,TRX,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",91,International
197,Water deer,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['6'], 'solve_time': ['2024-11-23T05:00:08.854Z']}",50,International
198,xyz,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['13'], 'solve_time': ['2024-11-23T05:00:13.746Z']}",50,InternationalDomestic
199,CP_Z3R0,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['14'], 'solve_time': ['2024-11-23T05:00:13.961Z']}",50,International
200,WeBallinS11: HackingNoHero,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['16'], 'solve_time': ['2024-11-23T05:00:17.032Z']}",50,International
201,B1pr06y-G,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['19'], 'solve_time': ['2024-11-23T05:00:21.355Z']}",50,InternationalDomestic
202,goorm4,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['23'], 'solve_time': ['2024-11-23T05:00:26.539Z']}",50,International
203,ntukey,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['25'], 'solve_time': ['2024-11-23T05:00:35.51Z']}",50,InternationalDomestic
204,mium,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['26'], 'solve_time': ['2024-11-23T05:00:37.04Z']}",50,International
205,piyopiyo-chan,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['27'], 'solve_time': ['2024-11-23T05:00:42.473Z']}",50,InternationalDomestic
206,TeamDORAKU,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['28'], 'solve_time': ['2024-11-23T05:00:44.69Z']}",50,InternationalDomestic
207,NUTS:(NU,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['31'], 'solve_time': ['2024-11-23T05:00:52.146Z']}",50,International
208,bup11f,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['34'], 'solve_time': ['2024-11-23T05:00:53.694Z']}",50,InternationalDomestic
209,NS_,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['35'], 'solve_time': ['2024-11-23T05:00:53.726Z']}",50,International
210,info-lounge,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['36'], 'solve_time': ['2024-11-23T05:00:55.687Z']}",50,InternationalDomestic
211,ZFG,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['40'], 'solve_time': ['2024-11-23T05:00:59.07Z']}",50,International
212,teamb_LC2,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['43'], 'solve_time': ['2024-11-23T05:01:01.158Z']}",50,InternationalDomestic
213,susumu,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
214,AR-kai,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['48'], 'solve_time': ['2024-11-23T05:01:03.171Z']}",50,InternationalDomestic
215,rookies,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['49'], 'solve_time': ['2024-11-23T05:01:03.944Z']}",50,InternationalDomestic
216,DenDen Hackers,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['53'], 'solve_time': ['2024-11-23T05:01:08.675Z']}",50,InternationalDomestic
217,hrokamo,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['55'], 'solve_time': ['2024-11-23T05:01:09.822Z']}",50,InternationalDomestic
218,FPQRCR,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
219,shaoqilu870@gmail.com,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['58'], 'solve_time': ['2024-11-23T05:01:13.334Z']}",50,International
220,nishishinjuku-ctf,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['59'], 'solve_time': ['2024-11-23T05:01:14.182Z']}",50,InternationalDomestic
221,CS2,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['60'], 'solve_time': ['2024-11-23T05:01:15.122Z']}",50,InternationalDomestic
222,"Banquet of the ""milk""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['62'], 'solve_time': ['2024-11-23T05:01:16.891Z']}",50,InternationalDomestic
223,TUATMCC,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['65'], 'solve_time': ['2024-11-23T05:01:18.446Z']}",50,InternationalDomestic
224,shu8Cream,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['66'], 'solve_time': ['2024-11-23T05:01:18.587Z']}",50,InternationalDomestic
225,N0tW0R7H1t,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['67'], 'solve_time': ['2024-11-23T05:01:19.404Z']}",50,International
226,ins0m1a_owls,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
227,2>/dev/null,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['71'], 'solve_time': ['2024-11-23T05:01:20.206Z']}",50,InternationalDomestic
228,one,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['72'], 'solve_time': ['2024-11-23T05:01:20.247Z']}",50,International
229,\C0dE7,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['74'], 'solve_time': ['2024-11-23T05:01:20.637Z']}",50,InternationalDomestic
230,"End of the ""q-escape""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['75'], 'solve_time': ['2024-11-23T05:01:20.839Z']}",50,InternationalDomestic
231,tier99,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
232,Team ShininG,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['78'], 'solve_time': ['2024-11-23T05:01:23.904Z']}",50,International
233,Ninjaec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['79'], 'solve_time': ['2024-11-23T05:01:24.272Z']}",50,InternationalDomestic
234,kBxAc,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['84'], 'solve_time': ['2024-11-23T05:01:29.373Z']}",50,International
235,C1ph3r-Sh4d0w5,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['85'], 'solve_time': ['2024-11-23T05:01:30.087Z']}",50,International
236,Small Potatoes,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['86'], 'solve_time': ['2024-11-23T05:01:30.872Z']}",50,InternationalDomestic
237,SouthCloud,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['89'], 'solve_time': ['2024-11-23T05:01:32.214Z']}",50,InternationalDomestic
238,Ichigo daifuku,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['92'], 'solve_time': ['2024-11-23T05:01:33.134Z']}",50,InternationalDomestic
239,mikoto,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['93'], 'solve_time': ['2024-11-23T05:01:33.404Z']}",50,InternationalDomestic
240,J3llyB34n_5w4g ,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['97'], 'solve_time': ['2024-11-23T05:01:36.3Z']}",50,International
241,YK,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['99'], 'solve_time': ['2024-11-23T05:01:37.529Z']}",50,InternationalDomestic
242,MidnightTurkey,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['101'], 'solve_time': ['2024-11-23T05:01:37.99Z']}",50,InternationalDomestic
243,krrr,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['102'], 'solve_time': ['2024-11-23T05:01:38.036Z']}",50,International
244,Thermae Romae,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['104'], 'solve_time': ['2024-11-23T05:01:40.12Z']}",50,InternationalDomestic
245,The GoV (Guardian of Virus),"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
246,MN7,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['109'], 'solve_time': ['2024-11-23T05:01:42.522Z']}",50,InternationalDomestic
247,Kirigaoka,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['110'], 'solve_time': ['2024-11-23T05:01:42.662Z']}",50,InternationalDomestic
248,sysnote,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['112'], 'solve_time': ['2024-11-23T05:01:45.268Z']}",50,InternationalDomestic
249,CyberUnit,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['114'], 'solve_time': ['2024-11-23T05:01:46.196Z']}",50,International
250,_W@wZA_,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
251,Corvus_macrorhynchos_santeam!!!!!,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['118'], 'solve_time': ['2024-11-23T05:01:48.366Z']}",50,InternationalDomestic
252,yebsil,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['119'], 'solve_time': ['2024-11-23T05:01:49.623Z']}",50,InternationalDomestic
253,Kitasan3,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['120'], 'solve_time': ['2024-11-23T05:01:49.935Z']}",50,InternationalDomestic
254,YNatWest,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['121'], 'solve_time': ['2024-11-23T05:01:50.931Z']}",50,InternationalDomestic
255,G4kTK31,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['122'], 'solve_time': ['2024-11-23T05:01:51.296Z']}",50,InternationalDomestic
256,TeamAS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['123'], 'solve_time': ['2024-11-23T05:01:54.44Z']}",50,InternationalDomestic
257,RomeoDelten,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['124'], 'solve_time': ['2024-11-23T05:01:54.708Z']}",50,International
258,GALF,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['125'], 'solve_time': ['2024-11-23T05:01:54.709Z']}",50,International
259,nyanpon,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['127'], 'solve_time': ['2024-11-23T05:01:56.215Z']}",50,InternationalDomestic
260,TSC,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
261,DCHT,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['129'], 'solve_time': ['2024-11-23T05:02:00.536Z']}",50,International
262,Psytofu,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['130'], 'solve_time': ['2024-11-23T05:02:03.358Z']}",50,InternationalDomestic
263,yotei,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['131'], 'solve_time': ['2024-11-23T05:02:03.552Z']}",50,InternationalDomestic
264,Qnet,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['132'], 'solve_time': ['2024-11-23T05:02:04.254Z']}",50,InternationalDomestic
265,SafeCat,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['133'], 'solve_time': ['2024-11-23T05:02:05.589Z']}",50,International
266,kkb,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['134'], 'solve_time': ['2024-11-23T05:02:06.899Z']}",50,InternationalDomestic
267,FiberSecurity,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['135'], 'solve_time': ['2024-11-23T05:02:07.632Z']}",50,International
268,AnonyMeow,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['137'], 'solve_time': ['2024-11-23T05:02:08.692Z']}",50,International
269,a1ue012,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['139'], 'solve_time': ['2024-11-23T05:02:12.874Z']}",50,InternationalDomestic
270,ssrob,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['140'], 'solve_time': ['2024-11-23T05:02:13.299Z']}",50,InternationalDomestic
271,MonoidOperator,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['141'], 'solve_time': ['2024-11-23T05:02:14.228Z']}",50,InternationalDomestic
272,ITS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['142'], 'solve_time': ['2024-11-23T05:02:14.828Z']}",50,InternationalDomestic
273,NIS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['145'], 'solve_time': ['2024-11-23T05:02:23.78Z']}",50,InternationalDomestic
274,tatatato,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['146'], 'solve_time': ['2024-11-23T05:02:24.05Z']}",50,InternationalDomestic
275,J-PF,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['148'], 'solve_time': ['2024-11-23T05:02:28.328Z']}",50,InternationalDomestic
276,KDIX.Security,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['149'], 'solve_time': ['2024-11-23T05:02:29.092Z']}",50,InternationalDomestic
277,rizu_to_aoitori,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['152'], 'solve_time': ['2024-11-23T05:02:32.462Z']}",50,InternationalDomestic
278,MNetWoRk,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['154'], 'solve_time': ['2024-11-23T05:02:33.147Z']}",50,InternationalDomestic
279,team_enjoy,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['156'], 'solve_time': ['2024-11-23T05:02:35.239Z']}",50,InternationalDomestic
280,ilovectf,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['157'], 'solve_time': ['2024-11-23T05:02:36.044Z']}",50,InternationalDomestic
281,dog of Copilot's,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['159'], 'solve_time': ['2024-11-23T05:02:36.731Z']}",50,InternationalDomestic
282,kq5iwam0chi,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['160'], 'solve_time': ['2024-11-23T05:02:37.434Z']}",50,InternationalDomestic
283,TeamAW,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['163'], 'solve_time': ['2024-11-23T05:02:47.495Z']}",50,InternationalDomestic
284,CiphersRoundTable,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['164'], 'solve_time': ['2024-11-23T05:02:49.171Z']}",50,International
285,gauss_hogehoge,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['167'], 'solve_time': ['2024-11-23T05:03:05.604Z']}",50,InternationalDomestic
286,mini-Spirit,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
287,ALATOO,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['169'], 'solve_time': ['2024-11-23T05:03:13.052Z']}",50,International
288,HotSw@:p,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['170'], 'solve_time': ['2024-11-23T05:03:13.723Z']}",50,InternationalDomestic
289,Webula,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['171'], 'solve_time': ['2024-11-23T05:03:13.74Z']}",50,International
290,c@t-river,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
291,; ;,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['173'], 'solve_time': ['2024-11-23T05:03:20.95Z']}",50,InternationalDomestic
292,Um3r0tPWNa,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['174'], 'solve_time': ['2024-11-23T05:03:22.552Z']}",50,International
293,0h1t4s1,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['176'], 'solve_time': ['2024-11-23T05:03:38.897Z']}",50,InternationalDomestic
294,okasen-ojiya,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['182'], 'solve_time': ['2024-11-23T05:03:54.341Z']}",50,InternationalDomestic
295,CRMA Cyber Club,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['183'], 'solve_time': ['2024-11-23T05:03:55.686Z']}",50,International
296,s3cure_sh3ll,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['186'], 'solve_time': ['2024-11-23T05:04:04.342Z']}",50,International
297,KingOfHell,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
298,sunsun_daisuki,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['188'], 'solve_time': ['2024-11-23T05:04:08.205Z']}",50,InternationalDomestic
299,quantum,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['189'], 'solve_time': ['2024-11-23T05:04:15.412Z']}",50,InternationalDomestic
300,40km/h,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['190'], 'solve_time': ['2024-11-23T05:04:16.481Z']}",50,InternationalDomestic
301,"End of the ""web_search""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['191'], 'solve_time': ['2024-11-23T05:04:20.068Z']}",50,InternationalDomestic
302,mokumokuD,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
303,qqqqwe,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['193'], 'solve_time': ['2024-11-23T05:04:30.613Z']}",50,International
304,kasayanus,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['195'], 'solve_time': ['2024-11-23T05:04:37.464Z']}",50,InternationalDomestic
