,Team,Challenges
112,P3gasus,"{'challenge_name': ['ChatGGT (1)', 'Custom Web Server (1)', 'New Free Lunch', 'Almost DSA', 'Sanity check', 'RSA LCG (0)', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'Baby Cracker', 'ISA 101', 'Feedback'], 'challenge_points': ['100', '150', '100', '100', '10', '100', '150', '150', '100', '200', '10'], 'challenge_score': '1170'}"
113,MCs,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'Almost DSA', 'RSA LCG (0)', 'RSA LCG (1)', 'Pigeon Post (1)', 'Feedback', 'RSA LCG (3)', 'mAEStro (1): Sample'], 'challenge_points': ['10', '100', '100', '100', '300', '100', '10', '200', '250'], 'challenge_score': '1170'}"
114,O0029 - DS007-DeepSea,"{'challenge_name': ['Baby Cracker', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Flag hasher', 'Webpage to PDF (1)', 'Yet another crackme', 'Void', 'Feedback', 'ISA 101', 'B6ACP'], 'challenge_points': ['100', '10', '100', '50', '150', '100', '150', '100', '100', '10', '200', '100'], 'challenge_score': '1170'}"
115,LSE,"{'challenge_name': ['ChatGGT (1)', 'New Free Lunch', 'Custom Web Server (1)', 'Sanity check', 'Baby Cracker', 'Yet another crackme', 'Webpage to PDF (1)', 'Scratch ERCode', 'Flag hasher', 'Get Flag Yourself', 'Pigeon Post (1)', 'Feedback'], 'challenge_points': ['100', '100', '150', '10', '100', '100', '150', '200', '100', '50', '100', '10'], 'challenge_score': '1170'}"
116,S0101 - BISHOP HALL JUBILEE SCHOOL,"{'challenge_name': ['Sanity check', 'Almost DSA', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'ISA 101', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Feedback', 'ChatGGT (1)', 'Baby Cracker', 'Flag hasher'], 'challenge_points': ['10', '100', '100', '50', '150', '200', '150', '100', '10', '100', '100', '100'], 'challenge_score': '1170'}"
117,rustyboys,"{'challenge_name': ['RSA LCG (0)', 'New Free Lunch', 'Sanity check', 'Almost DSA', 'ChatGGT (1)', 'RSA LCG (1)', 'Custom Web Server (1)', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)""], 'challenge_points': ['100', '100', '10', '100', '100', '300', '150', '200', '100'], 'challenge_score': '1160'}"
118,tchen,"{'challenge_name': ['Sanity check', 'Custom Web Server (1)', 'New Free Lunch', 'Webpage to PDF (1)', 'Get Flag Yourself', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Void', 'Baby Cracker', 'Cyp.ress'], 'challenge_points': ['10', '150', '100', '150', '50', '200', '100', '100', '100', '200'], 'challenge_score': '1160'}"
119,O0011 - #ffff00,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'ISA 101', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'Feedback', 'B6ACP', 'Pigeon Post (1)', 'Void', 'Baby Cracker', 'ChatGGT (1)'], 'challenge_points': ['10', '100', '200', '150', '150', '10', '100', '100', '100', '100', '100'], 'challenge_score': '1120'}"
120,O0084 - ErrorSheet,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Webpage to PDF (1)', 'Flag hasher', 'Void', 'ChatGGT (1)', 'Yet another crackme', 'Baby Cracker', 'Pigeon Post (1)', ""Mystiz's Mini CTF (2)"", ""Where's the APT Attack (1)""], 'challenge_points': ['10', '100', '150', '100', '100', '100', '100', '100', '100', '100', '150'], 'challenge_score': '1110'}"
121,Super Wings,"{'challenge_name': ['RSA LCG (0)', 'Get Flag Yourself', 'Postfix expression calculator', ""Where's the APT Attack (1)"", 'Custom Web Server (1)', 'Sanity check', 'New Free Lunch', 'ChatGGT (1)', 'Baby Cracker', 'Void'], 'challenge_points': ['100', '50', '220', '150', '150', '10', '100', '100', '100', '100'], 'challenge_score': '1080'}"
122,S0169 - Queen Elizabeth School Old Students' Association Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Webpage to PDF (1)', 'ChatGGT (1)', 'RSA LCG (0)', 'Feedback', 'Void', 'Flag hasher', 'B6ACP', 'Pigeon Post (1)', ""Where's the APT Attack (1)""], 'challenge_points': ['10', '100', '50', '150', '100', '100', '10', '100', '100', '100', '100', '150'], 'challenge_score': '1070'}"
123,T0048 - SPAPE,"{'challenge_name': ['One Way Room', 'Sanity check', ""Where's the APT Attack (1)"", 'Feedback', 'Yet another crackme', 'Pigeon Post (1)', 'New Free Lunch', 'B6ACP', 'Void', 'RSA LCG (0)', 'Webpage to PDF (1)'], 'challenge_points': ['150', '10', '150', '10', '100', '100', '100', '100', '100', '100', '150'], 'challenge_score': '1070'}"
124,S0175 - Carmel Pak U Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Feedback', 'Webpage to PDF (1)', 'RSA LCG (0)', 'Pigeon Post (1)', 'Void', 'Flag hasher', 'Almost DSA', 'ChatGGT (1)'], 'challenge_points': ['10', '100', '50', '150', '10', '150', '100', '100', '100', '100', '100', '100'], 'challenge_score': '1070'}"
125,PT_lab,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Baby Cracker', 'Webpage to PDF (1)', 'ChatGGT (1)', 'ISA 101', 'Yet another crackme', 'Flag hasher'], 'challenge_points': ['10', '100', '50', '150', '100', '150', '100', '200', '100', '100'], 'challenge_score': '1060'}"
126,O0085 - OAT LABS,"{'challenge_name': ['ChatGGT (1)', 'New Free Lunch', 'Sanity check', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Flag hasher', 'Feedback', ""Mystiz's Mini CTF (2)"", 'Void', 'Cyp.ress'], 'challenge_points': ['100', '100', '10', '50', '150', '100', '100', '10', '100', '100', '200'], 'challenge_score': '1020'}"
127,T0040 - YMD_SOLO,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'New Free Lunch', 'ChatGGT (1)', 'Get Flag Yourself', 'Void', 'My Lovely Cats', 'Feedback', 'Webpage to PDF (1)', 'B6ACP', 'Flag hasher'], 'challenge_points': ['10', '100', '100', '100', '50', '100', '200', '10', '150', '100', '100'], 'challenge_score': '1020'}"
128,garubong,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'One Way Room', 'Webpage to PDF (1)', 'ChatGGT (1)', 'Feedback', 'Yet another crackme', 'RSA LCG (0)', 'Void'], 'challenge_points': ['10', '50', '100', '150', '150', '150', '100', '10', '100', '100', '100'], 'challenge_score': '1020'}"
129,O0002 - O0001 - T3SLUN,"{'challenge_name': ['New Free Lunch', 'Sanity check', 'Webpage to PDF (1)', 'B6ACP', 'Get Flag Yourself', 'Void', ""Where's the APT Attack (1)"", 'Feedback', 'Custom Web Server (1)', 'Baby Cracker', 'ChatGGT (1)'], 'challenge_points': ['100', '10', '150', '100', '50', '100', '150', '10', '150', '100', '100'], 'challenge_score': '1020'}"
130,AETHER,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Feedback', 'One Way Room', 'ChatGGT (1)', 'Void'], 'challenge_points': ['10', '100', '50', '100', '150', '150', '100', '10', '150', '100', '100'], 'challenge_score': '1020'}"
131,skibiDiDiOS-02,"{'challenge_name': ['New Free Lunch', 'Sanity check', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Void', 'Get Flag Yourself', 'Yet another crackme', 'One Way Room', 'Feedback', 'RSA LCG (0)', 'Baby Cracker'], 'challenge_points': ['100', '10', '150', '150', '100', '50', '100', '150', '10', '100', '100'], 'challenge_score': '1020'}"
132,FCCPC,"{'challenge_name': [""Mystiz's Mini CTF (2)"", 'Custom Web Server (1)', 'Custom Web Server (2)', 'Webpage to PDF (1)', 'New Free Lunch', 'Sanity check', 'Feedback', ""Mystiz's Mini CTF (1)""], 'challenge_points': ['100', '150', '300', '150', '100', '10', '10', '200'], 'challenge_score': '1020'}"
133,"S0085 - Wah Yan College, Kowloon","{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Webpage to PDF (1)', 'B6ACP', 'Feedback', 'Baby Cracker', 'ChatGGT (1)', 'Pigeon Post (1)', 'Flag hasher', 'ISA 101'], 'challenge_points': ['10', '100', '50', '150', '100', '10', '100', '100', '100', '100', '200'], 'challenge_score': '1020'}"
134,图书馆五楼风很大,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'New Free Lunch', 'One Way Room', 'Get Flag Yourself', 'Baby Cracker', 'Cook book', 'My Lovely Cats'], 'challenge_points': ['10', '150', '100', '150', '50', '100', '250', '200'], 'challenge_score': '1010'}"
135,bunniesGang,"{'challenge_name': ['ISA 101', 'Sanity check', 'New Free Lunch', 'ChatGGT (1)', 'Baby Cracker', 'Yet another crackme', 'Cyp.ress', 'Feedback', 'Webpage to PDF (1)'], 'challenge_points': ['200', '10', '100', '100', '100', '100', '200', '10', '150'], 'challenge_score': '970'}"
136,S0143 - Yan Oi Tong Tin Kong Ping Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Feedback', 'Void', 'Get Flag Yourself', 'RSA LCG (0)', 'Baby Cracker', 'Pigeon Post (1)', 'Yet another crackme'], 'challenge_points': ['10', '100', '150', '150', '10', '100', '50', '100', '100', '100', '100'], 'challenge_score': '970'}"
137,T0009 - UpOneDownTwo,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'ChatGGT (1)', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'ISA 101', 'RSA LCG (0)', 'Webpage to PDF (1)'], 'challenge_points': ['10', '100', '100', '100', '150', '50', '200', '100', '150'], 'challenge_score': '960'}"
138,VSL,"{'challenge_name': ['Sanity check', 'Cyp.ress', 'New Free Lunch', 'Get Flag Yourself', 'ChatGGT (1)', 'Baby Cracker', ""Where's the APT Attack (1)"", 'B6ACP', 'Webpage to PDF (1)'], 'challenge_points': ['10', '200', '100', '50', '100', '100', '150', '100', '150'], 'challenge_score': '960'}"
139,T0038 - CUHK,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'ChatGGT (1)', 'Almost DSA', 'Get Flag Yourself', 'New Free Lunch', 'Baby Cracker', 'Feedback', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'Flag hasher'], 'challenge_points': ['10', '100', '100', '100', '50', '100', '100', '10', '100', '150', '100'], 'challenge_score': '920'}"
140,Safecat,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'New Free Lunch', 'Get Flag Yourself', 'Baby Cracker', 'Webpage to PDF (1)', 'RSA LCG (0)', 'Flag hasher', 'Feedback', 'Pigeon Post (1)', ""Mystiz's Mini CTF (2)""], 'challenge_points': ['10', '100', '100', '50', '100', '150', '100', '100', '10', '100', '100'], 'challenge_score': '920'}"
141,O0009 - HackyClub Team A,"{'challenge_name': ['New Free Lunch', 'Get Flag Yourself', 'Sanity check', 'Webpage to PDF (1)', 'Void', 'Feedback', ""Where's the APT Attack (1)"", 'B6ACP', 'Custom Web Server (1)', ""Mystiz's Mini CTF (2)""], 'challenge_points': ['100', '50', '10', '150', '100', '10', '150', '100', '150', '100'], 'challenge_score': '920'}"
142,No module name,"{'challenge_name': ['ChatGGT (1)', 'Sanity check', 'New Free Lunch', 'Baby Cracker', 'Void', 'ISA 101', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Feedback', 'Flag hasher'], 'challenge_points': ['100', '10', '100', '100', '100', '200', '50', '150', '10', '100'], 'challenge_score': '920'}"
143,SNI,"{'challenge_name': ['Cyp.ress', 'Sanity check', 'Baby Cracker', 'New Free Lunch', 'Get Flag Yourself', 'Custom Web Server (1)', 'Almost DSA', 'RSA LCG (0)', 'ChatGGT (1)'], 'challenge_points': ['200', '10', '100', '100', '50', '150', '100', '100', '100'], 'challenge_score': '910'}"
144,MOCTF,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Baby Cracker', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'Yet another crackme', 'One Way Room'], 'challenge_points': ['10', '100', '50', '150', '100', '100', '150', '100', '150'], 'challenge_score': '910'}"
145,Sentenced to 5 years of pyjail,"{'challenge_name': ['New Free Lunch', ""Mystiz's Mini CTF (2)"", ""Mystiz's Mini CTF (1)"", 'Get Flag Yourself', 'Webpage to PDF (1)', 'Webpage to PDF (2)', 'Custom Web Server (1)'], 'challenge_points': ['100', '100', '200', '50', '150', '150', '150'], 'challenge_score': '900'}"
146,CrémeTartinéFabuleuse,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Flag hasher', 'Baby Cracker', 'B6ACP', 'Yet another crackme', 'ChatGGT (1)', 'ChatGGT (2)'], 'challenge_points': ['10', '100', '50', '100', '100', '100', '100', '100', '230'], 'challenge_score': '890'}"
147,ShellphishAcademy,"{'challenge_name': ['Postfix expression calculator', 'ChatGGT (1)', 'New Free Lunch', 'Sanity check', 'Get Flag Yourself', 'Flag hasher', 'Shellcode Runner 3'], 'challenge_points': ['220', '100', '100', '10', '50', '100', '300'], 'challenge_score': '880'}"
148,T0060 - NuttyShell White,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'ChatGGT (1)', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'Flag hasher', 'Pigeon Post (1)', 'Yet another crackme', 'Feedback'], 'challenge_points': ['10', '50', '100', '100', '150', '150', '100', '100', '100', '10'], 'challenge_score': '870'}"
149,T0074 - OwO,"{'challenge_name': [""Where's the APT Attack (1)"", 'New Free Lunch', 'Sanity check', 'Get Flag Yourself', 'Baby Cracker', 'ChatGGT (1)', 'RSA LCG (0)', 'Webpage to PDF (1)', 'Void', 'Feedback'], 'challenge_points': ['150', '100', '10', '50', '100', '100', '100', '150', '100', '10'], 'challenge_score': '870'}"
150,O0023 - 404: APT Not Found,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'ChatGGT (1)', 'Baby Cracker', 'Jane Streak Amateurs', 'B6ACP', 'Hearing Check', 'Webpage to PDF (1)', 'Feedback'], 'challenge_points': ['10', '50', '100', '100', '100', '150', '100', '100', '150', '10'], 'challenge_score': '870'}"
151,O0127 - PoYap,"{'challenge_name': ['New Free Lunch', 'Sanity check', 'Baby Cracker', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'Feedback', ""Mystiz's Mini CTF (2)"", 'Void', 'Webpage to PDF (1)'], 'challenge_points': ['100', '10', '100', '50', '150', '100', '10', '100', '100', '150'], 'challenge_score': '870'}"
152,S0020 - Tuen Mun Catholic Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Pigeon Post (1)', 'B6ACP', 'Feedback', 'Yet another crackme', 'Get Flag Yourself', 'RSA LCG (0)'], 'challenge_points': ['10', '100', '150', '150', '100', '100', '10', '100', '50', '100'], 'challenge_score': '870'}"
153,hack_tuah,"{'challenge_name': ['Get Flag Yourself', 'ChatGGT (1)', 'Sanity check', 'New Free Lunch', 'Baby Cracker', 'Pigeon Post (1)', 'Flag hasher', 'Feedback', 'Void', 'ISA 101'], 'challenge_points': ['50', '100', '10', '100', '100', '100', '100', '10', '100', '200'], 'challenge_score': '870'}"
154,T0085 - FireForgotten,"{'challenge_name': ['Get Flag Yourself', 'Sanity check', 'Void', 'Feedback', 'Almost DSA', 'Pigeon Post (1)', 'New Free Lunch', 'Webpage to PDF (1)', 'RSA LCG (0)', 'Webpage to PDF (2)'], 'challenge_points': ['50', '10', '100', '10', '100', '100', '100', '150', '100', '150'], 'challenge_score': '870'}"
155,S0058 - The Chinese Foundation Secondary School,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'New Free Lunch', 'Webpage to PDF (1)', 'Yet another crackme', 'Feedback', 'My Lovely Cats', 'ChatGGT (1)'], 'challenge_points': ['10', '150', '50', '100', '150', '100', '10', '200', '100'], 'challenge_score': '870'}"
156,S0005 - S.K.H. Keihau Secondary School,"{'challenge_name': ['Sanity check', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Pigeon Post (1)', 'Feedback', 'Get Flag Yourself', 'Webpage to PDF (1)', 'RSA LCG (0)', 'ISA 101'], 'challenge_points': ['10', '100', '150', '100', '10', '50', '150', '100', '200'], 'challenge_score': '870'}"
157,Pookie Bears,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'Flag hasher', 'Feedback', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'ChatGGT (1)'], 'challenge_points': ['10', '50', '100', '100', '150', '100', '10', '100', '150', '100'], 'challenge_score': '870'}"
158,c00c00,"{'challenge_name': ['New Free Lunch', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Webpage to PDF (2)', 'Webpage to PDF (1)', 'Custom Web Server (1)'], 'challenge_points': ['100', '200', '100', '150', '150', '150'], 'challenge_score': '850'}"
159,O0098 - Salaryman,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Baby Cracker', 'Webpage to PDF (1)', 'Flag hasher', 'Pigeon Post (1)', ""Where's the APT Attack (1)"", 'Void', 'Feedback'], 'challenge_points': ['10', '100', '100', '150', '100', '100', '150', '100', '10'], 'challenge_score': '820'}"
160,WhiteOps - AUI,"{'challenge_name': ['One Way Room', 'Sanity check', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Baby Cracker', 'Feedback', 'Cook book'], 'challenge_points': ['150', '10', '50', '100', '150', '100', '10', '250'], 'challenge_score': '820'}"
161,mizore_fuyu,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Yet another crackme', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'Baby Cracker', 'Flag hasher', 'Void', 'Get Flag Yourself'], 'challenge_points': ['10', '100', '100', '150', '100', '100', '100', '100', '50'], 'challenge_score': '810'}"
162,T0062 - THEI,"{'challenge_name': ['ChatGGT (1)', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'ISA 101', 'Baby Cracker', 'Webpage to PDF (1)', 'Flag hasher'], 'challenge_points': ['100', '10', '100', '50', '200', '100', '150', '100'], 'challenge_score': '810'}"
163,TeamC8,"{'challenge_name': ['Almost DSA', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'One Way Room', 'RSA LCG (0)', 'Flag hasher', 'Pigeon Post (1)'], 'challenge_points': ['100', '100', '150', '150', '100', '100', '100'], 'challenge_score': '800'}"
164,T0050 - CityU.getParticipationMark();,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'Feedback', 'Flag hasher'], 'challenge_points': ['10', '100', '50', '150', '100', '100', '150', '10', '100'], 'challenge_score': '770'}"
165,vyz-256,"{'challenge_name': ['Baby Cracker', 'New Free Lunch', 'Sanity check', 'ChatGGT (1)', 'ISA 101', 'ISH (1)', 'Get Flag Yourself', 'Feedback'], 'challenge_points': ['100', '100', '10', '100', '200', '200', '50', '10'], 'challenge_score': '770'}"
166,S0080 - The Chinese Foundation Secondary School,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'New Free Lunch', 'Get Flag Yourself', 'Feedback', 'ChatGGT (1)', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'Void'], 'challenge_points': ['10', '100', '100', '50', '10', '100', '150', '150', '100'], 'challenge_score': '770'}"
167,S0130 - N.T. Heung Yee Kuk Yuen Long District Secondary School,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'Baby Cracker', 'Flag hasher', 'Webpage to PDF (1)', 'Feedback', ""Where's the APT Attack (1)"", 'ChatGGT (1)'], 'challenge_points': ['10', '50', '100', '100', '100', '150', '10', '150', '100'], 'challenge_score': '770'}"
168,S0019 - Tung Wah Group of Hospitals Lo Kon Ting Memorial College,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'ChatGGT (1)', 'Get Flag Yourself', 'Feedback', 'Almost DSA', 'Pigeon Post (1)'], 'challenge_points': ['10', '100', '150', '150', '100', '50', '10', '100', '100'], 'challenge_score': '770'}"
169,O0113 - Oui Oui Baguette,"{'challenge_name': ['Sanity check', 'One Way Room', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'Webpage to PDF (1)', 'Feedback', 'Webpage to PDF (2)'], 'challenge_points': ['10', '150', '100', '150', '50', '150', '10', '150'], 'challenge_score': '770'}"
170,O0130 - I am weak,"{'challenge_name': ['ISA 101', 'Get Flag Yourself', 'Sanity check', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'B6ACP'], 'challenge_points': ['200', '50', '10', '100', '150', '150', '100'], 'challenge_score': '760'}"
171,Kikuri'sbeerpacket,"{'challenge_name': ['ChatGGT (1)', 'Sanity check', 'New Free Lunch', ""Mystiz's Mini CTF (1)"", 'Webpage to PDF (1)', ""Mystiz's Mini CTF (2)"", 'Void'], 'challenge_points': ['100', '10', '100', '200', '150', '100', '100'], 'challenge_score': '760'}"
172,S0041 - SKH Lam Kau Mow Secondary School,"{'challenge_name': ['One Way Room', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Feedback', 'RSA LCG (0)'], 'challenge_points': ['150', '10', '100', '50', '150', '150', '10', '100'], 'challenge_score': '720'}"
173,demo,"{'challenge_name': ['New Free Lunch', 'Get Flag Yourself', 'Sanity check', 'RSA LCG (0)', 'Flag hasher', 'Webpage to PDF (1)', ""Mystiz's Mini CTF (2)"", 'Feedback', 'B6ACP'], 'challenge_points': ['100', '50', '10', '100', '100', '150', '100', '10', '100'], 'challenge_score': '720'}"
174,SPADES,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Almost DSA', 'RSA LCG (0)', 'Feedback', 'ChatGGT (1)', 'Webpage to PDF (1)', 'Baby Cracker'], 'challenge_points': ['10', '100', '50', '100', '100', '10', '100', '150', '100'], 'challenge_score': '720'}"
175,O0102 - V4GU3,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'ChatGGT (1)', 'Feedback', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'RSA LCG (0)', 'Get Flag Yourself', 'B6ACP'], 'challenge_points': ['10', '100', '100', '10', '150', '100', '100', '50', '100'], 'challenge_score': '720'}"
176,pobateam,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'Get Flag Yourself', 'Custom Web Server (1)', 'Morph', 'New Free Lunch'], 'challenge_points': ['10', '100', '50', '150', '300', '100'], 'challenge_score': '710'}"
177,l0paty,"{'challenge_name': ['Void', 'Sanity check', 'New Free Lunch', 'Baby Cracker', 'RSA LCG (0)', 'Webpage to PDF (1)', 'One Way Room'], 'challenge_points': ['100', '10', '100', '100', '100', '150', '150'], 'challenge_score': '710'}"
178,AlphaG0,"{'challenge_name': ['Morph', 'Black C2', '', '', ''], 'challenge_points': ['300', '400', '', '', ''], 'challenge_score': '700'}"
179,TrueDev,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'RSA LCG (0)', 'Flag hasher', 'Feedback'], 'challenge_points': ['10', '50', '100', '150', '150', '100', '100', '10'], 'challenge_score': '670'}"
180,S0129 - N.T. Heung Yee Kuk Yuen Long District Secondary School,"{'challenge_name': ['Get Flag Yourself', 'Sanity check', 'New Free Lunch', 'Baby Cracker', 'Webpage to PDF (1)', 'Feedback', 'Flag hasher', ""Where's the APT Attack (1)""], 'challenge_points': ['50', '10', '100', '100', '150', '10', '100', '150'], 'challenge_score': '670'}"
181,"T0046 - THEI,CityU,HSU","{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'ChatGGT (1)', ""Mystiz's Mini CTF (2)"", 'Feedback'], 'challenge_points': ['10', '50', '100', '150', '150', '100', '100', '10'], 'challenge_score': '670'}"
182,T0022 - CUHK,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'ChatGGT (1)', 'B6ACP', 'Webpage to PDF (1)', 'Feedback', 'Baby Cracker', 'Flag hasher'], 'challenge_points': ['10', '100', '100', '100', '150', '10', '100', '100'], 'challenge_score': '670'}"
183,T0043 - Mu 007,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Flag hasher', 'Baby Cracker', 'Feedback', 'ChatGGT (1)'], 'challenge_points': ['10', '100', '150', '100', '100', '100', '10', '100'], 'challenge_score': '670'}"
184,dfsfsdfsd,"{'challenge_name': ['Baby Cracker', 'Cyp.ress', 'Morph', 'Sanity check', 'Get Flag Yourself'], 'challenge_points': ['100', '200', '300', '10', '50'], 'challenge_score': '660'}"
185,S™,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'Webpage to PDF (1)', 'Webpage to PDF (2)', 'My Lovely Cats'], 'challenge_points': ['10', '50', '100', '150', '150', '200'], 'challenge_score': '660'}"
186,what321,"{'challenge_name': [""Where's the APT Attack (1)"", 'Baby Cracker', 'Sanity check', 'New Free Lunch', 'RSA LCG (0)', 'ChatGGT (1)', 'Flag hasher'], 'challenge_points': ['150', '100', '10', '100', '100', '100', '100'], 'challenge_score': '660'}"
187,sakura,"{'challenge_name': ['New Free Lunch', 'Webpage to PDF (1)', 'Webpage to PDF (2)', ""Mystiz's Mini CTF (2)"", 'Custom Web Server (1)'], 'challenge_points': ['100', '150', '150', '100', '150'], 'challenge_score': '650'}"
188,GWN,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'Void', 'Baby Cracker', 'Webpage to PDF (1)', 'B6ACP', 'Feedback'], 'challenge_points': ['10', '50', '100', '100', '100', '150', '100', '10'], 'challenge_score': '620'}"
189,O0134 - Fairy Atelier,"{'challenge_name': ['Almost DSA', 'Get Flag Yourself', 'Sanity check', 'New Free Lunch', 'Void', 'Feedback', 'Webpage to PDF (1)', 'Pigeon Post (1)'], 'challenge_points': ['100', '50', '10', '100', '100', '10', '150', '100'], 'challenge_score': '620'}"
190,S0144 - SKH CHAN YOUNG SECONDARY SCHOOL,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'New Free Lunch', 'Webpage to PDF (1)', 'RSA LCG (0)', 'Feedback', 'ISA 101'], 'challenge_points': ['10', '50', '100', '150', '100', '10', '200'], 'challenge_score': '620'}"
191,ShellphishAcademy4,"{'challenge_name': ['Baby Cracker', 'Sanity check', 'Morph', 'Almost DSA', 'RSA LCG (0)'], 'challenge_points': ['100', '10', '300', '100', '100'], 'challenge_score': '610'}"
192,TeaTime,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Webpage to PDF (1)', 'Cook book', 'Pigeon Post (1)'], 'challenge_points': ['10', '100', '150', '250', '100'], 'challenge_score': '610'}"
193,Qw'Hack,"{'challenge_name': ['Get Flag Yourself', 'Sanity check', 'Baby Cracker', 'New Free Lunch', 'RSA LCG (0)', 'ChatGGT (1)', 'Webpage to PDF (1)'], 'challenge_points': ['50', '10', '100', '100', '100', '100', '150'], 'challenge_score': '610'}"
