Position,name,points,challenge
48,breadsticks,760,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X', 'Maroon', 'GhostBot'], 'challenge_category': ['Crypto', 'Web', 'OSINT', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100', '100', '360'], 'solve_time': ['2024-12-27 18:50', '2024-12-27 22:49', '2024-12-28 04:04', '2024-12-28 06:02', '2024-12-29 01:21']}"
49,Intrusion Illusion,760,"{'challenge_name': ['My Vault', 'Manifesto', '18 Karat Gold', 'Batman - The Dark Knight', 'Mini X', 'Chessato'], 'challenge_category': ['Crypto', 'Web', 'Crypto', 'DFIR', 'OSINT', 'Reverse'], 'challenge_points': ['100', '100', '100', '260', '100', '100'], 'solve_time': ['2024-12-27 21:12', '2024-12-28 03:02', '2024-12-28 14:12', '2024-12-29 01:32', '2024-12-29 01:45', '2024-12-29 16:25']}"
50,TuxPwners,730,"{'challenge_name': ['Mini X', 'Manifesto', 'My Vault', 'small eq’s'], 'challenge_category': ['OSINT', 'Web', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100', '430'], 'solve_time': ['2024-12-27 18:02', '2024-12-27 20:20', '2024-12-27 22:13', '2024-12-28 19:47']}"
51,PwnSec,680,"{'challenge_name': ['Manifesto', 'Sentir', 'My Vault', 'Batman - The Dark Knight'], 'challenge_category': ['Web', 'Reverse', 'Crypto', 'DFIR'], 'challenge_points': ['100', '220', '100', '260'], 'solve_time': ['2024-12-27 20:01', '2024-12-27 21:01', '2024-12-27 21:23', '2024-12-27 21:54']}"
52,NiGhtMaRe,680,"{'challenge_name': ['Batman - The Dark Knight', 'My Vault', 'Sentir', 'Chessato'], 'challenge_category': ['DFIR', 'Crypto', 'Reverse', 'Reverse'], 'challenge_points': ['260', '100', '220', '100'], 'solve_time': ['2024-12-27 22:02', '2024-12-27 23:17', '2024-12-28 03:40', '2024-12-28 07:14']}"
53,rjcyber,680,"{'challenge_name': ['Batman - The Dark Knight', ""Batman - Gotham's Secret""], 'challenge_category': ['DFIR', 'DFIR'], 'challenge_points': ['260', '420'], 'solve_time': ['2024-12-28 11:41', '2024-12-28 13:38']}"
54,qwezxcxzcadas,670,"{'challenge_name': ['My Vault', '18 Karat Gold', 'Private Curve'], 'challenge_category': ['Crypto', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '470'], 'solve_time': ['2024-12-27 19:35', '2024-12-28 11:24', '2024-12-28 13:52']}"
55,PwnInfra,660,"{'challenge_name': ['Yet Another Format String Bug', 'Wanna Play a Game?', 'Recover Your Vision'], 'challenge_category': ['Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['240', '100', '320'], 'solve_time': ['2024-12-28 04:19', '2024-12-28 04:52', '2024-12-28 05:45']}"
56,L0ck8y7e,660,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto', 'Batman - The Dark Knight', 'Chessato'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'DFIR', 'Reverse'], 'challenge_points': ['100', '100', '100', '260', '100'], 'solve_time': ['2024-12-27 18:13', '2024-12-27 21:07', '2024-12-27 23:40', '2024-12-28 02:26', '2024-12-28 09:12']}"
57,16j,660,"{'challenge_name': ['Wanna Play a Game?', 'Yet Another Format String Bug', 'Recover Your Vision'], 'challenge_category': ['Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['100', '240', '320'], 'solve_time': ['2024-12-28 11:09', '2024-12-28 11:11', '2024-12-28 12:55']}"
58,DZ NEXUS EMPIRE,660,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto', 'Batman - The Dark Knight', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'DFIR', 'OSINT'], 'challenge_points': ['100', '100', '100', '260', '100'], 'solve_time': ['2024-12-27 17:56', '2024-12-27 20:24', '2024-12-28 00:40', '2024-12-28 01:13', '2024-12-28 14:10']}"
59,aespaFanClub,660,"{'challenge_name': ['Wanna Play a Game?', 'Yet Another Format String Bug', 'Recover Your Vision'], 'challenge_category': ['Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['100', '240', '320'], 'solve_time': ['2024-12-28 10:40', '2024-12-28 13:15', '2024-12-28 15:30']}"
60,ec last dance,660,"{'challenge_name': ['Wanna Play a Game?', 'Yet Another Format String Bug', 'Recover Your Vision'], 'challenge_category': ['Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['100', '240', '320'], 'solve_time': ['2024-12-28 12:52', '2024-12-28 14:42', '2024-12-28 16:05']}"
61,GGH,660,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon', 'GhostBot'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100', '360'], 'solve_time': ['2024-12-27 18:57', '2024-12-27 20:26', '2024-12-28 19:42', '2024-12-28 19:47']}"
62,n0_flag_here,660,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon', 'GhostBot'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100', '360'], 'solve_time': ['2024-12-27 19:50', '2024-12-27 21:30', '2024-12-28 19:55', '2024-12-28 19:57']}"
63,bakery,660,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon', 'GhostBot'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100', '360'], 'solve_time': ['2024-12-27 20:25', '2024-12-29 09:09', '2024-12-29 09:20', '2024-12-29 09:21']}"
64,Wade,620,"{'challenge_name': ['Sentir', 'ILLOwl'], 'challenge_category': ['Reverse', 'Reverse'], 'challenge_points': ['220', '400'], 'solve_time': ['2024-12-28 12:42', '2024-12-28 13:18']}"
65,Phreaks,560,"{'challenge_name': ['Batman - The Dark Knight', 'Mini X', 'My Vault', '18 Karat Gold'], 'challenge_category': ['DFIR', 'OSINT', 'Crypto', 'Crypto'], 'challenge_points': ['260', '100', '100', '100'], 'solve_time': ['2024-12-27 22:50', '2024-12-27 23:33', '2024-12-28 01:32', '2024-12-28 08:12']}"
66,Ginkgo,560,"{'challenge_name': ['Sentir', 'Wanna Play a Game?', 'Yet Another Format String Bug'], 'challenge_category': ['Reverse', 'Pwn', 'Pwn'], 'challenge_points': ['220', '100', '240'], 'solve_time': ['2024-12-27 19:40', '2024-12-28 08:46', '2024-12-29 17:55']}"
67,itsnotagame,520,"{'challenge_name': ['Manifesto', 'My Vault', 'Sentir', 'Chessato'], 'challenge_category': ['Web', 'Crypto', 'Reverse', 'Reverse'], 'challenge_points': ['100', '100', '220', '100'], 'solve_time': ['2024-12-27 19:11', '2024-12-27 20:14', '2024-12-27 22:29', '2024-12-28 01:53']}"
68,m1nt4l1ty,510,"{'challenge_name': ['My Vault', 'Prime Suspects', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Misc', 'Crypto'], 'challenge_points': ['100', '310', '100'], 'solve_time': ['2024-12-27 19:45', '2024-12-27 21:42', '2024-12-28 05:47']}"
69,wjaaaaaaat,510,"{'challenge_name': ['My Vault', 'Prime Suspects', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Misc', 'Crypto'], 'challenge_points': ['100', '310', '100'], 'solve_time': ['2024-12-27 20:28', '2024-12-27 21:14', '2024-12-28 05:49']}"
70,aria,510,"{'challenge_name': ['My Vault', '18 Karat Gold', 'Prime Suspects'], 'challenge_category': ['Crypto', 'Crypto', 'Misc'], 'challenge_points': ['100', '100', '310'], 'solve_time': ['2024-12-27 21:59', '2024-12-28 13:51', '2024-12-28 15:05']}"
71,pwn_of_b4c4lh4u,500,"{'challenge_name': ['Manifesto', 'Mini X', 'Maroon', 'My Vault', 'Chessato'], 'challenge_category': ['Web', 'OSINT', 'OSINT', 'Crypto', 'Reverse'], 'challenge_points': ['100', '100', '100', '100', '100'], 'solve_time': ['2024-12-27 23:13', '2024-12-27 23:54', '2024-12-28 00:23', '2024-12-28 01:55', '2024-12-28 03:23']}"
72,418s,500,"{'challenge_name': ['My Vault', 'Tempus'], 'challenge_category': ['Crypto', 'Hardware'], 'challenge_points': ['100', '400'], 'solve_time': ['2024-12-27 22:47', '2024-12-28 17:05']}"
73,CyberZone,460,"{'challenge_name': ['Mini X', 'My Vault', 'Batman - The Dark Knight'], 'challenge_category': ['OSINT', 'Crypto', 'DFIR'], 'challenge_points': ['100', '100', '260'], 'solve_time': ['2024-12-27 20:24', '2024-12-27 20:41', '2024-12-28 19:52']}"
74,yummyshell,440,"{'challenge_name': ['My Vault', 'Mini X', 'Yet Another Format String Bug'], 'challenge_category': ['Crypto', 'OSINT', 'Pwn'], 'challenge_points': ['100', '100', '240'], 'solve_time': ['2024-12-27 20:17', '2024-12-27 21:59', '2024-12-28 09:44']}"
75,crop,420,"{'challenge_name': ['Capawchino Cafe', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['320', '100'], 'solve_time': ['2024-12-27 23:55', '2024-12-28 02:41']}"
76,ALL-R3D,420,"{'challenge_name': ['My Vault', 'Sentir', 'Mini X'], 'challenge_category': ['Crypto', 'Reverse', 'OSINT'], 'challenge_points': ['100', '220', '100'], 'solve_time': ['2024-12-27 20:47', '2024-12-27 20:49', '2024-12-28 09:07']}"
77,15h,420,"{'challenge_name': ['Capawchino Cafe', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['320', '100'], 'solve_time': ['2024-12-28 09:09', '2024-12-28 11:36']}"
78,0psu3,420,"{'challenge_name': ['Sentir', 'My Vault', '18 Karat Gold'], 'challenge_category': ['Reverse', 'Crypto', 'Crypto'], 'challenge_points': ['220', '100', '100'], 'solve_time': ['2024-12-27 20:35', '2024-12-28 15:27', '2024-12-28 16:24']}"
79,Shellskapsresan,400,"{'challenge_name': ['Mini X', 'My Vault', 'Chessato', 'Manifesto'], 'challenge_category': ['OSINT', 'Crypto', 'Reverse', 'Web'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 19:46', '2024-12-27 20:48', '2024-12-27 21:12', '2024-12-28 02:55']}"
80,Paolo,400,"{'challenge_name': ['My Vault', 'Manifesto', 'Wanna Play a Game?', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Web', 'Pwn', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 22:00', '2024-12-27 22:50', '2024-12-28 02:52', '2024-12-28 04:18']}"
81,CaveiraGamingHD,400,"{'challenge_name': ['My Vault', 'Chessato', 'Mini X', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Reverse', 'OSINT', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 17:57', '2024-12-27 19:13', '2024-12-28 00:30', '2024-12-28 04:23']}"
82,Null Pointers,400,"{'challenge_name': ['Manifesto', 'Mini X', 'Maroon', 'My Vault'], 'challenge_category': ['Web', 'OSINT', 'OSINT', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 22:36', '2024-12-28 02:37', '2024-12-28 04:20', '2024-12-28 07:52']}"
83,KillerMachine,400,"{'challenge_name': ['My Vault', 'Mini X', 'Chessato', '18 Karat Gold'], 'challenge_category': ['Crypto', 'OSINT', 'Reverse', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 18:32', '2024-12-27 19:32', '2024-12-28 06:49', '2024-12-28 08:52']}"
84,404 nnf,400,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto', '18 Karat Gold'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 19:36', '2024-12-27 20:45', '2024-12-27 22:55', '2024-12-28 12:05']}"
85,m0xSquad,400,"{'challenge_name': ['Manifesto', 'Mini X', 'Chessato', 'My Vault'], 'challenge_category': ['Web', 'OSINT', 'Reverse', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 21:10', '2024-12-28 02:09', '2024-12-28 04:43', '2024-12-28 12:58']}"
86,newline,400,"{'challenge_name': ['My Vault', 'Mini X', '18 Karat Gold', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-28 00:33', '2024-12-28 03:24', '2024-12-28 11:43', '2024-12-28 15:13']}"
87,ByteTheCookies,400,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto', '18 Karat Gold'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 18:11', '2024-12-27 20:43', '2024-12-27 21:04', '2024-12-28 15:14']}"
88,0xIcanlaugh,400,"{'challenge_name': ['Mini X', 'My Vault', 'Maroon', '18 Karat Gold'], 'challenge_category': ['OSINT', 'Crypto', 'OSINT', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 18:00', '2024-12-27 19:05', '2024-12-28 07:08', '2024-12-28 15:59']}"
89,Hidden Investigations,400,"{'challenge_name': ['My Vault', 'Maroon', 'Chessato', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Reverse', 'Web'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 21:11', '2024-12-28 00:18', '2024-12-28 10:29', '2024-12-28 19:52']}"
90,bi0sblr,400,"{'challenge_name': ['Mini X', 'Chessato', 'My Vault', '18 Karat Gold'], 'challenge_category': ['OSINT', 'Reverse', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 17:48', '2024-12-27 19:16', '2024-12-27 20:40', '2024-12-28 21:52']}"
91,Porg Pwn Platoon,400,"{'challenge_name': ['Manifesto', 'Mini X', 'My Vault', 'Maroon'], 'challenge_category': ['Web', 'OSINT', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-28 01:09', '2024-12-28 01:43', '2024-12-28 04:34', '2024-12-28 22:52']}"
92,0x2d,400,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X', 'Wanna Play a Game?'], 'challenge_category': ['Crypto', 'Web', 'OSINT', 'Pwn'], 'challenge_points': ['100', '100', '100', '100'], 'solve_time': ['2024-12-27 18:38', '2024-12-27 22:50', '2024-12-27 23:17', '2024-12-29 22:10']}"
93,B00KbR07H3R2,340,"{'challenge_name': ['Manifesto', 'Yet Another Format String Bug'], 'challenge_category': ['Web', 'Pwn'], 'challenge_points': ['100', '240'], 'solve_time': ['2024-12-28 02:04', '2024-12-28 03:28']}"
94,Spiderden,340,"{'challenge_name': ['Yet Another Format String Bug', 'Wanna Play a Game?'], 'challenge_category': ['Pwn', 'Pwn'], 'challenge_points': ['240', '100'], 'solve_time': ['2024-12-28 10:07', '2024-12-28 15:09']}"
95,ph03n1x,320,"{'challenge_name': ['Capawchino Cafe'], 'challenge_category': ['Crypto'], 'challenge_points': ['320'], 'solve_time': ['2024-12-28 00:42']}"
96,HCST,320,"{'challenge_name': ['Capawchino Cafe'], 'challenge_category': ['Crypto'], 'challenge_points': ['320'], 'solve_time': ['2024-12-28 02:19']}"
97,HackNchill,320,"{'challenge_name': ['Chessato', 'Sentir'], 'challenge_category': ['Reverse', 'Reverse'], 'challenge_points': ['100', '220'], 'solve_time': ['2024-12-28 05:58', '2024-12-28 17:28']}"
98,Codefest,300,"{'challenge_name': ['Mini X', 'Manifesto', 'My Vault'], 'challenge_category': ['OSINT', 'Web', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 17:46', '2024-12-27 18:46', '2024-12-27 19:03']}"
99,Zero Day Warriors,300,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X'], 'challenge_category': ['Crypto', 'Web', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 17:54', '2024-12-27 18:40', '2024-12-27 19:13']}"
100,scuwn,300,"{'challenge_name': ['Mini X', 'My Vault', 'Chessato'], 'challenge_category': ['OSINT', 'Crypto', 'Reverse'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:12', '2024-12-27 18:46', '2024-12-27 21:12']}"
101,Dionlabs x MISIS,300,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:53', '2024-12-27 21:27', '2024-12-27 22:08']}"
102,1c3Gh3tt0,300,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:37', '2024-12-27 19:58', '2024-12-27 22:10']}"
103,Insight Warriors,300,"{'challenge_name': ['Manifesto', 'My Vault', 'Mini X'], 'challenge_category': ['Web', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 20:14', '2024-12-27 21:29', '2024-12-27 22:26']}"
104,h3ckm3ck,300,"{'challenge_name': ['Mini X', 'My Vault', 'Manifesto'], 'challenge_category': ['OSINT', 'Crypto', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:41', '2024-12-27 19:13', '2024-12-27 22:43']}"
105,MQCyberSec,300,"{'challenge_name': ['Mini X', 'My Vault', 'Manifesto'], 'challenge_category': ['OSINT', 'Crypto', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:06', '2024-12-27 19:20', '2024-12-27 22:43']}"
106,NcuboEconGnoveRquadratI,300,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:42', '2024-12-27 21:22', '2024-12-27 22:45']}"
107,Shikatanai,300,"{'challenge_name': ['Mini X', 'My Vault', 'Manifesto'], 'challenge_category': ['OSINT', 'Crypto', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 17:45', '2024-12-27 19:29', '2024-12-27 23:02']}"
108,nol3ptr,300,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 21:06', '2024-12-27 23:29', '2024-12-28 00:18']}"
109,1nn0c3nc3,300,"{'challenge_name': ['Chessato', 'My Vault', 'Manifesto'], 'challenge_category': ['Reverse', 'Crypto', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:12', '2024-12-27 19:29', '2024-12-28 00:23']}"
110,Unlock,300,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 20:15', '2024-12-27 21:13', '2024-12-28 00:24']}"
111,Batata So5na,300,"{'challenge_name': ['Manifesto', 'My Vault', 'Mini X'], 'challenge_category': ['Web', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 21:19', '2024-12-27 21:49', '2024-12-28 00:29']}"
112,Cyber Rangers,300,"{'challenge_name': ['Mini X', 'Maroon', 'My Vault'], 'challenge_category': ['OSINT', 'OSINT', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:40', '2024-12-27 20:23', '2024-12-28 01:08']}"
113,kza,300,"{'challenge_name': ['Mini X', 'Manifesto', 'My Vault'], 'challenge_category': ['OSINT', 'Web', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 17:48', '2024-12-27 19:51', '2024-12-28 02:22']}"
114,Hack Smarter,300,"{'challenge_name': ['My Vault', 'Wanna Play a Game?', 'Mini X'], 'challenge_category': ['Crypto', 'Pwn', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 23:39', '2024-12-28 02:01', '2024-12-28 02:57']}"
115,El Khalech,300,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:50', '2024-12-27 19:47', '2024-12-28 03:52']}"
116,Just_Team,300,"{'challenge_name': ['Mini X', 'Chessato', 'My Vault'], 'challenge_category': ['OSINT', 'Reverse', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 22:16', '2024-12-28 00:49', '2024-12-28 03:53']}"
117,FC2MK x CP_Z3R0,300,"{'challenge_name': ['Manifesto', 'My Vault', 'Mini X'], 'challenge_category': ['Web', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 21:45', '2024-12-28 01:52', '2024-12-28 04:07']}"
118,4NI_Pr0fil3,300,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X'], 'challenge_category': ['Crypto', 'Web', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 20:28', '2024-12-28 02:04', '2024-12-28 04:32']}"
119,Ng00m4lDhuhr,300,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 23:03', '2024-12-28 05:24', '2024-12-28 06:27']}"
120,D0MBUSTERS,300,"{'challenge_name': ['Manifesto', 'Mini X', 'My Vault'], 'challenge_category': ['Web', 'OSINT', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:47', '2024-12-28 01:08', '2024-12-28 06:30']}"
121,Untitled CTF Game,300,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X'], 'challenge_category': ['Crypto', 'Web', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:43', '2024-12-27 22:11', '2024-12-28 08:04']}"
122,Sudo Squad,300,"{'challenge_name': ['Mini X', 'My Vault', '18 Karat Gold'], 'challenge_category': ['OSINT', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:58', '2024-12-27 19:34', '2024-12-28 08:20']}"
123,CPCSEC,300,"{'challenge_name': ['Manifesto', '18 Karat Gold', 'My Vault'], 'challenge_category': ['Web', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-28 04:32', '2024-12-28 08:50', '2024-12-28 09:13']}"
124,JSoyke,300,"{'challenge_name': ['Mini X', 'My Vault', '18 Karat Gold'], 'challenge_category': ['OSINT', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-28 10:00', '2024-12-28 10:31', '2024-12-28 11:52']}"
125,banua,300,"{'challenge_name': ['Manifesto', 'My Vault', 'Mini X'], 'challenge_category': ['Web', 'Crypto', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-28 07:52', '2024-12-28 08:36', '2024-12-28 13:27']}"
126,ByteC4Ts,300,"{'challenge_name': ['My Vault', 'Manifesto', 'Chessato'], 'challenge_category': ['Crypto', 'Web', 'Reverse'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:35', '2024-12-27 20:43', '2024-12-28 14:38']}"
127,I L0V3 0TT3R5,300,"{'challenge_name': ['My Vault', 'Wanna Play a Game?', 'Chessato'], 'challenge_category': ['Crypto', 'Pwn', 'Reverse'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:34', '2024-12-28 13:03', '2024-12-28 14:59']}"
128,Trojans,300,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:47', '2024-12-27 19:33', '2024-12-28 15:12']}"
129,Cyberwave,300,"{'challenge_name': ['My Vault', 'Manifesto', 'Maroon'], 'challenge_category': ['Crypto', 'Web', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 17:59', '2024-12-27 23:25', '2024-12-28 15:22']}"
130,st0p_cyb3rbu11ying,300,"{'challenge_name': ['Manifesto', 'My Vault', '18 Karat Gold'], 'challenge_category': ['Web', 'Crypto', 'Crypto'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:44', '2024-12-27 19:25', '2024-12-28 15:25']}"
131,R3D_T34M,300,"{'challenge_name': ['My Vault', 'Mini X', 'Maroon'], 'challenge_category': ['Crypto', 'OSINT', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:16', '2024-12-27 18:33', '2024-12-28 16:26']}"
132,skibiDiDiOS,300,"{'challenge_name': ['Mini X', 'My Vault', 'Manifesto'], 'challenge_category': ['OSINT', 'Crypto', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 17:48', '2024-12-27 18:24', '2024-12-28 19:50']}"
133,SegFau1t,300,"{'challenge_name': ['My Vault', 'Wanna Play a Game?', 'Chessato'], 'challenge_category': ['Crypto', 'Pwn', 'Reverse'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:21', '2024-12-28 14:50', '2024-12-28 20:21']}"
134,Notime,300,"{'challenge_name': ['My Vault', 'Manifesto', 'Mini X'], 'challenge_category': ['Crypto', 'Web', 'OSINT'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:57', '2024-12-28 00:35', '2024-12-28 21:02']}"
135,Kaal-Vairab,300,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 19:21', '2024-12-27 23:20', '2024-12-28 21:19']}"
136,Guess-whose-back -_-,300,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto'], 'challenge_category': ['Crypto', 'OSINT', 'Web'], 'challenge_points': ['100', '100', '100'], 'solve_time': ['2024-12-27 18:49', '2024-12-27 20:41', '2024-12-29 23:50']}"
137,BorderOfLife,260,"{'challenge_name': ['Batman - The Dark Knight'], 'challenge_category': ['DFIR'], 'challenge_points': ['260'], 'solve_time': ['2024-12-27 21:02']}"
138,Astr1d,260,"{'challenge_name': ['Batman - The Dark Knight'], 'challenge_category': ['DFIR'], 'challenge_points': ['260'], 'solve_time': ['2024-12-28 02:39']}"
139,VxPx,260,"{'challenge_name': ['Batman - The Dark Knight'], 'challenge_category': ['DFIR'], 'challenge_points': ['260'], 'solve_time': ['2024-12-28 07:39']}"
140,0sc4r1n,240,"{'challenge_name': ['Yet Another Format String Bug'], 'challenge_category': ['Pwn'], 'challenge_points': ['240'], 'solve_time': ['2024-12-28 22:30']}"
141,qwe111,240,"{'challenge_name': ['Yet Another Format String Bug'], 'challenge_category': ['Pwn'], 'challenge_points': ['240'], 'solve_time': ['2024-12-29 13:03']}"
142,9adiro,220,"{'challenge_name': ['Sentir'], 'challenge_category': ['Reverse'], 'challenge_points': ['220'], 'solve_time': ['2024-12-27 19:46']}"
143,3r0th3r CC,220,"{'challenge_name': ['Sentir'], 'challenge_category': ['Reverse'], 'challenge_points': ['220'], 'solve_time': ['2024-12-28 13:08']}"
144,ERROR404,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:26', '2024-12-27 18:38']}"
