Place,Name,Points,Challenges
100,asaba,308,"{'challenge_name': ['Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'web', 'Warmup'], 'challenge_points': ['108', '100', '100'], 'solve_time': ['2024-12-15T02:29:51.628Z', '2024-12-14T23:03:44.841Z', '2024-12-14T15:15:40.173Z']}"
101,Friendly,Maltese,"{'challenge_name': ['I Have Been Pwned', 'Toolong Tea'], 'challenge_category': ['web', 'web'], 'challenge_points': ['189', '100'], 'solve_time': ['2024-12-14T13:24:16.902Z', '2024-12-14T13:23:39.900Z']}"
102,16j,287,"{'challenge_name': ['piercing_misty_mountain', 'Password-Ate-Quiz'], 'challenge_category': ['pwn', 'pwn'], 'challenge_points': ['179', '108'], 'solve_time': ['2024-12-15T06:05:55.538Z', '2024-12-14T14:54:43.582Z']}"
103,Ninth,House,"{'challenge_name': ['Feistel Barrier', 'Sanity Check'], 'challenge_category': ['crypto', 'Warmup'], 'challenge_points': ['150', '100'], 'solve_time': ['2024-12-14T21:32:24.517Z', '2024-12-14T19:33:17.289Z']}"
104,Crystals,225,"{'challenge_name': ['Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['crypto', 'Warmup'], 'challenge_points': ['125', '100'], 'solve_time': ['2024-12-14T12:25:34.568Z', '2024-12-14T11:00:03.664Z']}"
105,D4ck3n,214,"{'challenge_name': ['Misbehave', 'Sanity Check'], 'challenge_category': ['reversing', 'Warmup'], 'challenge_points': ['114', '100'], 'solve_time': ['2024-12-14T08:55:24.749Z', '2024-12-14T08:12:37.853Z']}"
106,n0rth_5ea,214,"{'challenge_name': ['Sanity Check', 'Misbehave'], 'challenge_category': ['Warmup', 'reversing'], 'challenge_points': ['100', '114'], 'solve_time': ['2024-12-14T09:01:13.468Z', '2024-12-14T08:51:29.374Z']}"
107,f4n_n3r0,214,"{'challenge_name': ['Misbehave', 'Sanity Check'], 'challenge_category': ['reversing', 'Warmup'], 'challenge_points': ['114', '100'], 'solve_time': ['2024-12-14T10:53:37.719Z', '2024-12-14T09:43:02.522Z']}"
108,HUTTSS,214,"{'challenge_name': ['Survey', 'Cached File Viewer', 'Sanity Check'], 'challenge_category': ['cooldown', 'misc', 'Warmup'], 'challenge_points': ['1', '113', '100'], 'solve_time': ['2024-12-14T16:50:57.598Z', '2024-12-14T15:58:42.356Z', '2024-12-14T15:43:08.991Z']}"
109,EggHead,214,"{'challenge_name': ['Toolong Tea', 'Misbehave'], 'challenge_category': ['web', 'reversing'], 'challenge_points': ['100', '114'], 'solve_time': ['2024-12-15T06:22:18.300Z', '2024-12-15T06:03:22.578Z']}"
110,NK,213,"{'challenge_name': ['Cached File Viewer', 'Sanity Check'], 'challenge_category': ['misc', 'Warmup'], 'challenge_points': ['113', '100'], 'solve_time': ['2024-12-14T14:29:30.178Z', '2024-12-14T07:01:48.919Z']}"
111,hackedemedikki,213,"{'challenge_name': ['Cached File Viewer', 'Toolong Tea'], 'challenge_category': ['misc', 'web'], 'challenge_points': ['113', '100'], 'solve_time': ['2024-12-14T19:06:11.892Z', '2024-12-14T16:10:26.895Z']}"
112,meowmeow,213,"{'challenge_name': ['Cached File Viewer', 'Toolong Tea'], 'challenge_category': ['misc', 'web'], 'challenge_points': ['113', '100'], 'solve_time': ['2024-12-15T00:31:52.762Z', '2024-12-15T00:23:07.692Z']}"
113,yuneko,213,"{'challenge_name': ['Cached File Viewer', 'Sanity Check'], 'challenge_category': ['misc', 'Warmup'], 'challenge_points': ['113', '100'], 'solve_time': ['2024-12-15T00:36:17.510Z', '2024-12-14T07:04:10.307Z']}"
114,mqmq,208,"{'challenge_name': ['Toolong Tea', 'Password-Ate-Quiz'], 'challenge_category': ['web', 'pwn'], 'challenge_points': ['100', '108'], 'solve_time': ['2024-12-14T10:44:22.879Z', '2024-12-14T10:23:30.379Z']}"
115,poggiewoggies,208,"{'challenge_name': ['Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['pwn', 'Warmup'], 'challenge_points': ['108', '100'], 'solve_time': ['2024-12-14T11:00:47.363Z', '2024-12-14T09:31:09.101Z']}"
116,KuonRuri,208,"{'challenge_name': ['Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['pwn', 'Warmup'], 'challenge_points': ['108', '100'], 'solve_time': ['2024-12-14T12:15:36.104Z', '2024-12-14T07:27:51.969Z']}"
117,Hack@Sec,208,"{'challenge_name': ['Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['pwn', 'Warmup'], 'challenge_points': ['108', '100'], 'solve_time': ['2024-12-14T12:59:49.916Z', '2024-12-14T12:21:28.006Z']}"
118,JR9QNJ,208,"{'challenge_name': ['Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['pwn', 'Warmup'], 'challenge_points': ['108', '100'], 'solve_time': ['2024-12-15T01:05:30.038Z', '2024-12-14T13:18:23.444Z']}"
119,Cybertroll,201,"{'challenge_name': ['Survey', 'Sanity Check', 'Toolong Tea'], 'challenge_category': ['cooldown', 'Warmup', 'web'], 'challenge_points': ['1', '100', '100'], 'solve_time': ['2024-12-14T15:17:54.534Z', '2024-12-14T08:15:12.064Z', '2024-12-14T08:12:19.155Z']}"
120,[SPbCTF],RC,"{'challenge_name': ['Survey', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['cooldown', 'web', 'Warmup'], 'challenge_points': ['1', '100', '100'], 'solve_time': ['2024-12-14T22:17:00.290Z', '2024-12-14T21:30:53.481Z', '2024-12-14T20:37:06.917Z']}"
121,BlackSniper,201,"{'challenge_name': ['Survey', 'Sanity Check', 'Toolong Tea'], 'challenge_category': ['cooldown', 'Warmup', 'web'], 'challenge_points': ['1', '100', '100'], 'solve_time': ['2024-12-15T06:12:31.047Z', '2024-12-14T14:38:16.911Z', '2024-12-14T10:23:37.952Z']}"
122,VSL,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T07:13:01.976Z', '2024-12-14T07:02:33.310Z']}"
123,総資産,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T07:34:04.124Z', '2024-12-14T07:33:07.106Z']}"
124,haryos,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T07:36:04.539Z', '2024-12-14T07:35:53.039Z']}"
125,lafixier,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T07:36:20.940Z', '2024-12-14T07:05:09.350Z']}"
126,noranekos,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T07:41:17.199Z', '2024-12-14T07:02:01.093Z']}"
127,team_ichipiro,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T08:37:35.141Z', '2024-12-14T07:20:27.571Z']}"
128,yaruyo,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T08:41:15.160Z', '2024-12-14T07:00:39.464Z']}"
129,wowza_ctf,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T09:01:11.880Z', '2024-12-14T08:39:43.255Z']}"
130,SHA-272,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T09:04:11.566Z', '2024-12-14T08:47:11.266Z']}"
131,superflip,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T09:46:31.984Z', '2024-12-14T09:42:28.457Z']}"
132,my_team_45789,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T10:24:03.092Z', '2024-12-14T10:13:30.228Z']}"
133,1753c,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T12:06:02.964Z', '2024-12-14T08:07:43.136Z']}"
134,bet75,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T12:20:34.078Z', '2024-12-14T11:49:10.712Z']}"
135,0xdaca,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T13:52:43.671Z', '2024-12-14T13:45:26.758Z']}"
136,chururichururira,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T13:55:08.352Z', '2024-12-14T13:49:25.029Z']}"
137,BBQP,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T14:12:51.970Z', '2024-12-14T14:00:10.783Z']}"
138,alstlr,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T14:31:23.700Z', '2024-12-14T07:03:45.194Z']}"
139,asfef,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T14:51:36.282Z', '2024-12-14T14:15:03.961Z']}"
140,Pippo,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T15:22:50.084Z', '2024-12-14T15:16:30.971Z']}"
141,Tinfoil,Hats,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T15:56:55.253Z', '2024-12-14T12:54:42.797Z']}"
142,Sphynx,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T16:42:16.542Z', '2024-12-14T08:36:53.068Z']}"
143,Coral,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T17:02:10.419Z', '2024-12-14T16:45:22.649Z']}"
144,DBWRA,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T17:39:57.669Z', '2024-12-14T12:43:19.576Z']}"
145,zxc,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T17:46:57.379Z', '2024-12-14T13:57:11.120Z']}"
146,Ireland,Without,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T18:22:55.373Z', '2024-12-14T18:20:18.829Z']}"
147,abh,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T19:24:49.872Z', '2024-12-14T18:24:15.039Z']}"
148,Sigma654321,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T19:34:54.155Z', '2024-12-14T19:03:51.655Z']}"
149,cheesepizza,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T23:13:55.230Z', '2024-12-14T21:06:12.283Z']}"
150,oppcs,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-14T23:53:04.916Z', '2024-12-14T22:05:04.359Z']}"
151,team1,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-15T01:08:55.717Z', '2024-12-15T00:38:12.197Z']}"
152,elliptic_garden,200,"{'challenge_name': ['Sanity Check', 'Toolong Tea'], 'challenge_category': ['Warmup', 'web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-15T03:54:02.845Z', '2024-12-15T01:49:27.214Z']}"
153,what321,200,"{'challenge_name': ['Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'Warmup'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-15T06:37:36.040Z', '2024-12-14T09:14:31.215Z']}"
154,ShaBo1,114,"{'challenge_name': ['Misbehave'], 'challenge_category': ['reversing'], 'challenge_points': ['114'], 'solve_time': ['2024-12-14T13:30:31.739Z']}"
155,JT,108,"{'challenge_name': ['Password-Ate-Quiz'], 'challenge_category': ['pwn'], 'challenge_points': ['108'], 'solve_time': ['2024-12-14T17:32:48.743Z']}"
156,name1110,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T14:12:52.027Z', '2024-12-14T12:33:00.025Z']}"
157,#MogamiShizuka,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T14:28:40.344Z', '2024-12-14T09:06:12.187Z']}"
158,Sh1ro,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T16:00:57.803Z', '2024-12-14T15:58:04.681Z']}"
159,fest.breach,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T16:06:13.555Z', '2024-12-14T11:38:10.608Z']}"
160,brigada,101,"{'challenge_name': ['Sanity Check', 'Survey'], 'challenge_category': ['Warmup', 'cooldown'], 'challenge_points': ['100', '1'], 'solve_time': ['2024-12-14T16:53:35.480Z', '2024-12-14T16:52:37.562Z']}"
161,planB,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T17:12:14.178Z', '2024-12-14T07:02:58.372Z']}"
162,n00b,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T18:10:18.538Z', '2024-12-14T18:09:28.083Z']}"
163,0xFUN,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T18:45:19.246Z', '2024-12-14T18:44:20.883Z']}"
164,whyhacking,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T20:26:38.169Z', '2024-12-14T09:22:50.058Z']}"
165,stalk,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T21:40:46.641Z', '2024-12-14T10:51:49.245Z']}"
166,CatCommandos,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-14T22:23:25.316Z', '2024-12-14T22:19:58.257Z']}"
167,ctfrrteam,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T00:21:06.857Z', '2024-12-14T08:41:03.214Z']}"
168,nt,101,"{'challenge_name': ['Sanity Check', 'Survey'], 'challenge_category': ['Warmup', 'cooldown'], 'challenge_points': ['100', '1'], 'solve_time': ['2024-12-15T00:55:43.557Z', '2024-12-15T00:54:46.292Z']}"
169,ΔV,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T03:01:43.584Z', '2024-12-15T03:01:21.884Z']}"
170,ch1lL_9uy,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T04:20:13.397Z', '2024-12-15T04:18:22.798Z']}"
171,RO3,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T04:20:22.323Z', '2024-12-14T08:32:21.335Z']}"
172,Joanne,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T04:39:41.782Z', '2024-12-14T07:55:06.661Z']}"
173,Seeking,Alpha,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T05:38:50.772Z', '2024-12-15T05:15:22.534Z']}"
174,alonely_stone,101,"{'challenge_name': ['Sanity Check', 'Survey'], 'challenge_category': ['Warmup', 'cooldown'], 'challenge_points': ['100', '1'], 'solve_time': ['2024-12-15T05:43:11.044Z', '2024-12-15T05:42:09.985Z']}"
175,Lumos1,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T05:43:23.523Z', '2024-12-14T07:21:50.782Z']}"
176,MidnightsFlagFinder,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T05:43:48.939Z', '2024-12-14T11:41:22.621Z']}"
177,fzhshzh,101,"{'challenge_name': ['Sanity Check', 'Survey'], 'challenge_category': ['Warmup', 'cooldown'], 'challenge_points': ['100', '1'], 'solve_time': ['2024-12-15T05:53:56.315Z', '2024-12-15T05:20:07.223Z']}"
178,kgrzk2024,101,"{'challenge_name': ['Survey', 'Sanity Check'], 'challenge_category': ['cooldown', 'Warmup'], 'challenge_points': ['1', '100'], 'solve_time': ['2024-12-15T06:37:21.750Z', '2024-12-15T06:35:01.675Z']}"
179,Code,Toan,"{'challenge_name': ['Sanity Check', 'Survey'], 'challenge_category': ['Warmup', 'cooldown'], 'challenge_points': ['100', '1'], 'solve_time': ['2024-12-15T06:38:09.411Z', '2024-12-15T06:37:41.543Z']}"
180,0sc4r1n,101,"{'challenge_name': ['Sanity Check', 'Survey'], 'challenge_category': ['Warmup', 'cooldown'], 'challenge_points': ['100', '1'], 'solve_time': ['2024-12-15T06:39:47.621Z', '2024-12-15T06:39:18.013Z']}"
181,ICEDTEA,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:00:53.166Z']}"
182,Adventure,Time,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:01:00.166Z']}"
183,strsaito,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:01:56.875Z']}"
184,Whois,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:02:04.736Z']}"
185,nahi_jam_raha_mama,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:02:25.330Z']}"
186,tH3_M1|_|_3nniUm,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:03:02.787Z']}"
187,TeAm-V1ctoRy,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:03:11.905Z']}"
188,BlackBird,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:03:30.085Z']}"
189,encLove,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:03:33.972Z']}"
190,AIR3,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:04:17.147Z']}"
191,R3BEL5,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:05:20.021Z']}"
192,Ramblec,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:05:20.108Z']}"
193,george,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:06:07.807Z']}"
194,/dev/zero,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:06:35.805Z']}"
195,0093,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:06:43.492Z']}"
196,ay0!,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:06:54.645Z']}"
197,FOOBAR,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:06:59.671Z']}"
198,alone,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:07:32.494Z']}"
199,SpellBreakers,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:08:37.877Z']}"
200,-bAlb3S1,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:09:20.472Z']}"
201,Youngblood,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:09:25.291Z']}"
202,Zanga,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:12:02.395Z']}"
203,zenCipher,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:13:56.928Z']}"
204,TJ,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:15:34.468Z']}"
205,yukichi,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:19:36.668Z']}"
206,c00c00,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:23:58.766Z']}"
207,l1mitless,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:32:25.205Z']}"
208,FhshEvilTeacher,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:36:54.557Z']}"
209,t_h_,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:45:40.754Z']}"
210,rename,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:48:40.733Z']}"
211,impeachment,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T07:51:16.145Z']}"
212,gv,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:06:11.366Z']}"
213,suks,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:11:39.265Z']}"
214,sgwr,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:11:42.925Z']}"
215,Nugg3t,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:12:34.610Z']}"
216,silly,team,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:24:52.727Z']}"
217,Rockstar,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:27:58.491Z']}"
218,deadly.wolfer,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:36:05.898Z']}"
219,Hthree,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T08:51:51.656Z']}"
220,kk0128,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:08:25.903Z']}"
221,Flyingwombat,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:08:45.321Z']}"
222,haniwa123,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:08:52.957Z']}"
223,amar,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:14:42.373Z']}"
224,Picknmix,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:18:54.281Z']}"
225,Integrated,Hawkers,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:46:13.889Z']}"
